Matrix,Group,Distribution,AIC,Parameters
L,Common_L,weibull_min,12.610560667445874,"(0.4498408005355681, 2.038557903082808, 30.483850165485034)"
L,Common_L,lognorm,15.282170108808234,"(7.517604754534384, 2.038557903082808, 10.146260680982195)"
L,Common_L,beta,15.689941105231135,"(0.055906995456043884, 0.19327373578504137, -11.067890368336972, 141.66370226791759)"
L,Common_L,expon,49.74565195482709,"(2.0385579030828085, 35.67910400691596)"
L,Common_L,norm,56.76361079430991,"(37.717661909998775, 47.3431691470039)"
L,Common_L,poisson,274.57449451585,"(37.6,)"
,,,,
L,Common_L,Results for Stop 6,,
L,Common_L,lognorm,3.9341229901801142,"(9.459522641408523, 0.29539042103157626, 34.14499842413923)"
L,Common_L,weibull_min,11.708256306433704,"(0.4892158932174953, 0.29539042103157626, 60.776817807034675)"
L,Common_L,beta,13.077889977420025,"(0.04717336240242508, 0.1498041194931336, -12.201842313563372, 137.33893063041566)"
L,Common_L,gamma,15.592752825492258,"(0.5502942862002642, 0.29539042103157626, 38.66435256150292)"
L,Common_L,expon,48.72772667187532,"(0.2953904210315763, 32.22597057884053)"
L,Common_L,norm,56.72928315954984,"(32.52136099987211, 47.18092986896876)"
L,Common_L,poisson,310.13875773908256,"(32.4,)"
,,,,
L,Common_L,Results for Stop 17,,
L,Common_L,beta,-22.077116342208033,"(0.08121586587309454, 0.04371960530600327, -1.2226705633960728, 78.67897635742901)"
L,Common_L,lognorm,-11.506580684306183,"(7.837089982472179, 5.901212867865095, 0.00019158225789848657)"
L,Common_L,expon,32.71948679001575,"(5.901212867865096, 44.105351825160604)"
L,Common_L,norm,33.21298167965318,"(50.0065646930257, 31.496982473077512)"
L,Common_L,weibull_min,34.449442454432905,"(70188463.90510547, -1508591346.1363976, 1508591410.626182)"
L,Common_L,gamma,35.29442247749722,"(232.21988732123208, -443.04811160039446, 2.121858191803187)"
L,Common_L,poisson,98.15535096721135,"(50.0,)"
,,,,
L,Common_L,Results for Stop 14,,
L,Common_L,lognorm,-24.796100687141646,"(9.230767747180881, 53.72534233499099, 4.0525645306944735)"
L,Common_L,weibull_min,7.151972385306124,"(0.7571244967416093, 53.72534233499099, 40.80615132942029)"
L,Common_L,beta,10.487155101956144,"(1.3787610118077442, 0.7811180044623284, 36.681790794110725, 76.20805916315078)"
L,Common_L,expon,21.548698592521617,"(53.725342334991, 29.582253811135246)"
L,Common_L,norm,23.224452725340306,"(83.30759614612624, 29.582253811135246)"
L,Common_L,gamma,25.22444704839321,"(400077383.9800415, -591735.0662284098, 0.0014792597761899347)"
L,Common_L,poisson,35.69783632273004,"(83.5,)"
,,,,
L,Common_L,Results for Stop 21,,
L,Common_L,lognorm,-4.965003261830658,"(5.7037005002415775, 19.15400331091126, 1.2873681093349711)"
L,Common_L,weibull_min,13.523208613954154,"(0.8139128317283453, 19.154003310911268, 79.62180844714118)"
L,Common_L,beta,21.958314871617127,"(1.2395911499054102, 0.9048595458056433, -29.562025804785115, 180.5326059277824)"
L,Common_L,expon,24.753056824295456,"(19.15400331091127, 65.908288406043)"
